bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
GOOD,A000138,10/MISS,0,0.55,0,0,490000,1,1,0.96,3,0,0,,信用,否,自置,13,10,0,0
GOOD,A000139,20,0,,,,,,,,,,,,抵押,,自置,9,10,0,10
GOOD,A000140,20,0,,,,,,,,,,,,抵押,,自置,10,10,1,6.511627907
GOOD,A000141,20,0,,,,,,,,,,,,抵押,,自置,10,10,1.5,17.5
GOOD,A000142,20,0,,,,,,,,,,,,抵押,,自置,9,10,2.3,10
BAD,A000143,20,1,0.03,4,3,301800,4,5,0.9,4,0,0,,保证,否,自置,16,0.34,0,0
GOOD,A000144,10/MISS,0,0.73,1,2,30000,0,2,0.89,1,0,0,151.41,保证,否,自置,8,0.75,0,10.336648315
GOOD,A000145,20,0,,,,,,,,,,,,抵押,,自置,13,10,2.54,18.2
GOOD,A000146,20,0,,,,,,,,,,,,抵押,,自置,19,10,1.16,7.16
GOOD,A000147,20,0,0.35,0,7,46000,1,2,0.89,6,0,0,,保证,否,自置,15,0.6,0,1.6425636369
GOOD,A000148,20,0,,,,,,,,,,,,抵押,,自置,19,10,2.04,8.4
GOOD,A000149,20,0,0.56,1,7,140000,0,2,0.99,10,0,0,,信用,否,自置,3,0.69,0,0
GOOD,A000150,20,0,,,,,,,,,,,,抵押,,自置,14,10,4.53,4.42
GOOD,A000151,20,0,0.23,0,2,190000,1,2,0.93,8,0,0,,信用,否,自置,3,0.26,0,0
BAD,A000152,20,1,0.42,2,2,100000,1,2,0.94,12,0,0,,保证,否,其他,6,1,0,0
GOOD,A000153,20,0,,,,,,,,,,,,抵押,,自置,17,10,2.06,5
GOOD,A000154,20,0,,,,,,,,,,,,抵押,,自置,15,10,8.81,20
GOOD,A000155,20,0,,,,,,,,,,,,抵押,,自置,15,10,2.88,20
GOOD,A000156,20,0,,,,,,,,,,,,抵押,,自置,15,10,10,20
GOOD,A000157,20,0,,,,,,,,,,,,抵押,,自置,15,10,4.54,4.42
GOOD,A000158,20,0,0.4,1,4,16050,1,1,0.98,10,0,0,,保证,否,自置,15,0.45,0,1.1443665903
BAD,A000159,10/MISS,1,0.57,0,2,12590,2,2,0.99,11,0,0,,保证,否,自置,0,10,0,4.7265704411
GOOD,A000160,20,0,0.53,2,6,100000,0,1,0.98,6,0,1,399.95,保证,否,自置,4,10,0,2.7985659762
GOOD,A000161,20,0,0.79,4,7,120000,0,2,1,6,0,2,,保证,否,自置,5,0.3,0,5.764164955
GOOD,A000162,20,0,0.86,2,6,153900,12,14,0.74,5,2,2,11852.98,保证,否,自置,5,0.06,0,0
GOOD,A000163,20,0,0.95,0,0,490341.3188,7,8,0.83,2,1,0,386.33,保证,否,自置,3,0.2,0,0
GOOD,A000164,20,0,0.28,6,10,0,0,6,0.95,7,0,0,,保证,否,自置,14,10,0,0.5638658099
GOOD,A000165,20,0,0.48,5,6,110000,1,2,0.98,8,0,0,,保证,否,自置,5,0.5,0,2.2175025009
GOOD,A000166,10/MISS,0,0.75,0,0,100000,0,1,1,7,0,0,,信用,否,自置,1,0.5,0,0
GOOD,A000167,10/MISS,0,0.82,1,2,100000,0,2,0.88,3,0,0,,保证,否,自置,3,0.67,0,1.049052653
BAD,A000168,20,1,0,0,8,60000,2,2,0.88,0,0,0,,保证,否,其他,1,10,0,0
BAD,A000169,20,1,0.85,0,2,4000,1,2,0.94,4,0,2,,保证,否,自置,3,0.6,0,0
BAD,A000170,20,1,0.42,0,2,41000,2,2,0.94,7,0,0,178.12,保证,否,其他,6,0.14,0,0
GOOD,A000171,20,0,0.54,0,8,30000,0,2,0.98,7,0,0,,保证,否,自置,20,0.67,0,0
GOOD,A000172,20,0,0.81,0,5,280000,1,4,0.86,5,0,0,,保证,否,自置,5,0.56,0,3.5322907895
BAD,A000173,20,1,0.4,0,3,22000,3,5,0.97,4,1,1,,保证,否,自置,3,0.37,0,0
GOOD,A000174,20,0,0,0,2,110000,7,14,0.23,0,0,0,,保证,否,自置,17,0.88,0,0
GOOD,A000175,20,0,0.64,5,15,80000,0,3,0.99,9,0,0,,保证,否,自置,1,0.83,0,0
BAD,A000176,20,1,0.91,5,9,20000,0,1,0.98,6,0,0,,保证,否,自置,10,0.91,0,0
GOOD,A000177,10/MISS,0,0.63,0,3,60000,0,2,0.6,2,0,0,,保证,否,自置,4,3.33,0,0
GOOD,A000178,20,0,0.67,0,3,65000,1,2,0.98,9,1,7,,信用,否,自置,8,0.18,0,0
BAD,A000179,10/MISS,1,0.85,4,13,0,0,2,0.95,7,0,2,,抵押,是,自置,9,0.13,1,1.4755177031
BAD,A000180,10/MISS,1,0.3,0,0,490341.3188,4,4,0.95,9,0,0,,保证,否,自置,8,0.44,0,0
BAD,A000181,20,1,0.36,2,2,18500,1,2,0.95,7,0,0,348.2,保证,否,自置,4,0.44,0,0
BAD,A000182,20,1,0.47,0,6,82600,0,2,0.95,6,0,0,,保证,否,自置,4,0.69,0,1.6783573581
GOOD,A000183,10/MISS,0,0.22,0,4,20000,1,2,0.95,6,0,0,,抵押,是,自置,7,0.27,0,0
BAD,A000184,20,1,0.3,0,5,212000,1,1,0.98,4,0,0,,抵押,否,自置,2,0.25,0,0
GOOD,A000185,20,0,0.98,2,8,490341.3188,0,2,0.97,7,0,0,,抵押,否,自置,6,0.67,1.85,0
GOOD,A000186,20,0,0.16,2,10,100000,0,4,1,5,0,0,220.35,抵押,否,自置,3,0.11,1.45,5.404884394
GOOD,A000187,20,0,1,2,3,320000,1,1,0.97,2,0,0,,保证,否,自置,1,1.11,0,0
GOOD,A000188,10/MISS,0,0.64,4,10,0,0,1,0.99,10,0,0,,保证,否,自置,2,10,0,4.8561461245
GOOD,A000189,20,0,0.54,0,8,0,0,2,0.86,5,0,0,,信用,否,其他,4,10,0,3.285849162
GOOD,A000190,20,0,0.77,0,8,30000,0,1,0.98,5,0,0,,信用,否,自置,10,1,0,0
