bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
GOOD,A000178,20,0,0.92,0,2,150000,0,3,0.96,3,0,1,218.67,保证,否,自置,5,0.31,0,4.066685509
GOOD,A000179,20,0,0.74,1,8,203699,1,2,0.98,9,1,2,247.92,保证,否,自置,2,0.22,0,0
GOOD,A000180,10/MISS,0,0.41,0,4,150000,0,2,0.97,5,1,0,,保证,否,自置,4,0.61,0,2.344317241
GOOD,A000181,10/MISS,0,0.39,0,6,3000,1,1,0.92,3,0,1,63.7,保证,否,其他,,2,0,7.3621438563
GOOD,A000182,20,0,0.53,0,7,10000,0,0,1,2,0,0,,保证,否,自置,8,0.5,0,0
GOOD,A000183,20,0,0.33,0,4,244000,0,1,0.87,2,0,0,,保证,否,自置,3,10,0,20
GOOD,A000184,10/MISS,0,0,0,1,15000,0,0,1,0,0,0,,信用,否,自置,10,0.63,0,0
GOOD,A000185,20,0,0.85,0,4,137000,0,1,1,5,0,0,,保证,否,自置,5,0.18,0,1.4098161429
GOOD,A000186,20,0,0.46,6,9,78000,2,1,0.98,9,0,0,,保证,否,自置,16,0.33,0,0
GOOD,A000187,20,0,0.45,1,2,100000,0,2,1,6,0,0,,抵押,否,其他,5,0.75,1.47,6.7985091841
GOOD,A000188,10/MISS,0,0.24,2,4,194000,0,2,0.88,3,0,0,,保证,否,自置,1,0.23,0,1.2851503448
GOOD,A000189,10/MISS,0,0.41,0,6,32000,1,1,0.98,3,0,0,,保证,否,自置,14,0.28,0,4.9430533432
GOOD,A000190,20,0,0.66,2,2,1000,1,2,0.86,6,0,0,,保证,否,自置,4,0.5,0,0
GOOD,A000191,20,0,0.67,0,5,70000,0,1,0.85,3,0,0,,保证,否,自置,3,1.33,0,1.3563545209
GOOD,A000192,20,0,0.85,3,3,170000,0,1,0.98,9,0,7,,保证,否,自置,1,1,0,2.2571962237
GOOD,A000193,10/MISS,0,0.87,0,0,50000,0,0,1,2,0,0,,保证,否,自置,2,1,0,1.871257485
GOOD,A000194,20,0,1,1,3,3500,0,0,1,2,0,1,,保证,否,自置,1,1.11,0,2.2512001711
GOOD,A000195,20,0,0.41,8,12,330000,0,0,1,9,0,3,,保证,否,自置,7,0.13,0,1.7108514419
GOOD,A000196,10/MISS,0,0.21,0,0,260000,0,2,0.96,8,0,0,,保证,否,自置,4,10,0,3.6804487203
GOOD,A000197,10/MISS,0,0.73,2,1,490341.3188,0,2,0.98,5,0,0,739.67,保证,否,自置,5,0.67,0,0
GOOD,A000198,20,0,0.52,1,8,28200,0,1,1,8,0,0,,保证,否,自置,6,0.8,0,1.9413307536
BAD,A000199,20,1,0.24,2,6,225000,1,2,0.99,9,0,0,,保证,否,自置,2,1,0,1.1562239172
GOOD,A000200,20,0,0.63,1,6,50000,0,2,0.99,8,0,0,,保证,否,自置,9,0.6,0,1.5133574584
GOOD,A000201,20,0,0.6,7,5,80000,0,1,1,5,0,0,,保证,否,自置,4,0.6,0,0
GOOD,A000202,20,0,0.25,4,7,60000,0,1,0.95,3,0,0,,保证,否,自置,6,0.35,0,1.6847649026
GOOD,A000203,20,0,0.45,2,7,101000,0,1,1,8,0,1,,保证,否,自置,7,0.2,0,0
GOOD,A000204,20,0,0.68,0,1,130000,0,2,1,7,0,1,,保证,否,自置,10,0.67,0,3.0961065886
BAD,A000205,20,1,0.01,1,3,50000,1,2,0.91,4,0,0,,保证,否,自置,10,0.5,0,1.2693265636
GOOD,A000206,10/MISS,0,0.73,1,4,50000,0,1,1,6,0,0,,保证,否,自置,3,0.08,0,2.18689322
GOOD,A000207,10/MISS,0,0.68,0,1,100000,0,0,1,4,0,3,222.02,保证,否,自置,1,2,0,1.6466416743
GOOD,A000208,20,0,0.26,0,3,111000,0,1,1,3,0,0,,保证,否,其他,2,1,0,1.7578299447
GOOD,A000209,20,0,0.06,1,2,100000,1,1,0.94,3,0,0,,抵押,否,其他,0,1.67,2.2,1.5
GOOD,A000210,20,0,0,0,4,394000,0,0,1,0,0,0,,信用,否,自置,14,2,0,0
BAD,A000211,20,1,0.52,4,7,250000,0,0,0.98,7,0,0,,抵押,否,自置,19,0.76,1,2.866589392
BAD,A000212,10/MISS,1,0.42,8,5,20000,0,0,1,7,0,0,,保证,否,自置,1,0.27,0,0
GOOD,A000213,20,0,0.66,3,9,130000,1,2,0.98,4,0,0,,抵押,否,自置,15,1.33,0,20
GOOD,A000214,10/MISS,0,0.33,2,1,100000,0,0,1,1,0,0,,保证,否,自置,12,1,0,2.9326923077
GOOD,A000215,20,0,0.57,2,0,480000,1,2,0.94,6,0,0,,信用,否,自置,7,0.18,0,0
